JAWABAN,LABEL_1,LABEL_2
akan terjadi lama proses adaptasi yang dilakukan oleh para pengunsi iklim tersebut.,7,7
komunitas dan negara,2,2
"Tantangan pengungsi iklim adalah lahan pekerjaan yang ia tempati dulu akan hilang, karena ia harus meninggalkan negaranya karena bencana lingkungan yang ada di negaranya.",9,8
beradaptasi dengan lingkungan yang baru,7,7
tantanganya adalah akan meninggalkan tempat tinggal dan perkebunan yang dimiliki,7,7
sulit mencari lahan pertanian,7,7
"Harus mencari tempat untuk bekerja, membangun rumah dan berkenalan dengan orang asing",10,10
"penyesuaian lingkungan dan masalah imigrasi, seperti amerika yang menolak imigran/pendatang dari luar",8,9
kehilangan segalanya,7,7
sebagian dari mereka akan kehilangan lahan dan keluarganya.,7,7
sulit beradaptasi dengan wilayah barunya,7,7
ia susah untuk beradaptasi,7,7
Mereka harus bisa beradaptasi dengan lingkungan barunya.,7,7
kalau tidak pindah kita terkena bencana,5,4
penguisi iklim adalah orang orang yang terpaksa meningalkan komunikasi atau negaranya karena karena beencna,5,4
mereka harus beradaptasi dengan tempat tersebut dan harus merelakan rumah dan harta nya tengelam,8,9
tantangan yang pasti akan dihadapi oleh orang-orang Travina menjadi pengungsi iklim adalah harusnya berbaur dengan baik sesuai dengan aturan dan tatanan yang ada ditempat baru yang akan ditinggali,8,8
pengungsi iklim,0,0
"Mereka akan beradaptasi dengan tempat mereka yang baru, dan mereka harus menerima keadaan tempat mereka yang baru serta menjalani cara hidup yang baru ditempat tersebut",8,8
akan kehilangan komunitas dan negaranya,7,7
kehidupan yang tidak sama dengan kehidupan yang biasa mereka jalani di negaranya,7,7
mereka harus rela kehilangan tempat tinggal yang mereka miliki sebelumnya karena pengaruh bencana alam yang tidak dapat dilewati,8,8
mereka harus mengusahakan tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka,8,8
"Warga Travina tidak betah untuk tinggal di tempat lain bukan tempat asalnya ,tidur pun suka tidak nyenyak dan makanan pun tidak sebanyak di tempat tinggal dulu ,mandi pun harus rela mengantri dengan pengungsi iklim lainnya",10,10
"mereka harus memulai lingkungan yang baru, beradaptasi dengan lingkungan mereka yang baru, dan membangun rumah atau pertanian di tempat baru tersebut",10,10
Mereka akan susah beradaptasi pada lingkungan yang baru dan mereka akan susah mendapat keahlian yang dibutuhkan di tempat yang baru,10,9
"mereka harus beradaptasi dengan tampat baru yang mereka akan tinggal,memulai hidup baru mereka juga akan sangat sulit mendapatkan pekerjaan",10,10
"mereka akan kesusahan dalam mencari kerja,mencari usaha dan lain lain.",7,7
masalah tempat tingal dan barang berharga,7,7
ketidak nyamanan berpindah,7,7
"mareka merasakan sesuatu yang tidak enak karna meningalkan nerara ,keluarga,DAN lain-lain",8,8
mereka harus memulai hidup baru dan harus tinggal dengan keadaan yang berbeda dari sebelumnya.,7,7
berwaspada,2,1
membuat kembali lahan pertanian/ lahan pekerjaan yang sudah ditinggalkan di negara tersebut,7,7
"mengungsi ke daerah lainya ,karena komunitas atau negara lainya terpaksa meninggalkan adanya bencana lingkungan",7,6
"pengungsi iklim akan kehilangan harta benda meraka,lahan meraka dikarenakan jika mereka telah menetap disana dan sukses disana maka mereka akan bersusah payah merintis lagi dari nol.",8,8
menahan rasa suhu tubuh yang ada di iklim negara tersebut,7,7
bersosialisasi dengan orang-orang baru dan beradaptasi dengan lingkungan sekitarnya yang baru,8,8
Akan sulit unutk menyesuaikan diri dengan lingkungan,7,7
tidak coccok dengan iklim yang akan ditempatinya,7,7
Terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,7,7
Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,5,4
Mereka akan rugi karena mereka akan meninggalkan lahan pertanian mereka yang sudah tumbuh subur.,6,6
harus lebih waspada lagi tentang keadaan sekitar nya,3,3
meninggalkan tempat baru yang telah di tempat i selama ini dan akan kehilangan semuanya.dan akan mengulang hidup baru dari lingkungan baru .,9,9
Kehilangan matapencarian atau mungkin keluarga,7,7
"Mereka akan bergaul dengan iklim yang baru,biasanya susah atau lama untuk beradaptasi dengan iklim baru",8,8
satu tantangan yang akan dihadapi oleh para pengungsi iklim ketika pindah ketempat yang baru yaitu beradaptasi dengan lingkungannya yang baru.,7,7
mereka akan kekuranngan lahan,7,7
Tantangan yang akan dihadapi para pengungsi iklim ini adalah mereka harus bisa beradaptasi dengan lingkungan barunya yang mungkin jauh berbeda dari tempat tinggal mereka sebelumnya dan harus memulai dari awal untuk mencari lahan pekerjaan mereka.,10,10
tantangan nya yaitu apabila mereka pidah ke tempat yang baru maka mereka akan tidak terbiasa dengan daerah yang mereka tempati.,8,8
"yang pertama pasti cuacanya, yang perlu beradaptasi. dengan lingkungannya",7,7
mereka mungkin kurang mendapatkan pekerjaan dan tempat tinggal yang layak bagi mereka,8,8
tidak bisa menyesuaikan diri dengan tempat baru,7,7
belajar,0,0
mengenal orang oramg baru/asing yag akan beradaptasi dari awal,7,7
karena travina adalah orang orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan dan dia menyenang dapet tempat tinggal baru.,7,7
mereka akan kehilangan film dokumenter populer,0,0
tidak terbiasa dengan itu,5,5
Tantangannya yang akan dihadapi adalah adanya rasa ketidak nyamanan yang mereka rasakan karena faktor lingkungan yang berbeda dari keadaan yang pernah mereka rasakan sebelumnya.,9,8
"mereka akan kekurangan bahan pangan,pakaian dan obat-obatan. mereka harus saling berbagi tempat dan rela sempit-sempitan.mereka akan serba kekurangan.",8,8
Mereka akan kehilangan kehilangan tempat tinggalnya,7,7
tentunya kondisi keuangan warga-warga travina akan menurun. mereka tidak bisa bertani lagi karena lahan pertanian merkea yang hilang. para pekerja di bidang pariwisata akan berkurang karena banyak warga travina yang mengungsi dan tempat-tempat tujuan wisatawan yang rusak.,10,10
tantangannya ialah penduduk akan kehilangan hasil dari pertanian yang mereka hasilkan dari lahan yang mereka tinggalkan,9,8
pekerjan akan menjadi hilang dan lahan pertanianakan berkurang.,8,8
"Karena tidak semua tempat beriklim sama, semua warga Travina juga harus menyesuaikan diri terhadap lingkungan dan iklim saat mereka pindah ke tempat yang baru.",8,8
"trepisah oleh komunitas nya,,,dan mencari tempat tinggal baru",7,7
untuk pindah ke daerah yang aman,7,7
"Satu tantangan yang akan dihadapi para pengungsi iklim saat pindah ke tempat baru yaitu penyesuaian/adaptasi dengan iklim tempat baru yang mereka tempati, mungkin akan sangat berbeda dengan yang ada di Travina.",8,8
mereka akan kehilangan lahan mereka yang telah mereka garap selama ini dan akan kehilangan harta benda.,7,7
tempat mungkin kurang layak bagi mereka yang menjadi pngungsi iklim ehinggga bisa mrnjadi ebuah tantangaan,7,7
"tidak memiliki tempat tinggal, kehilangan lahan nya",7,7
akan susah untuk beradaptasi terhadap lingkunggan dan juga terhadap iklim yang baru.,7,7
akan ber nsama dengan orang lain dan mengungsi demi keselamatan agar terhindar dari bencana iklim tersebut dan untuk waspada sebelum terjadi bencana iklim tersebut,6,7
Mereka harus meninggalakn kebiasaan mereka saat masih di travina dan harus beradaptasi dengan lingkungan baru mereka,7,7
sulit menyesuaikan diri dengan keadan alam di tempat tersebut,7,7
pasti akan sangat kesepian dan yang pasti belum terlalu adaptasi,7,7
tantangan yang di hadapi adalah saat mereka pindah ke tempat yang tinggi atau baru ia akan kehilangan lahan pertaniannya,7,7
tidak mendapat kehidupan yang layank karena tidak dapat pekejaan yang tepat sesuai dengan keahlian yang dimilikinya,8,8
mereka akan mengalami kesulitan untuk mendapatkan kebutuhan sehari hari,7,7
tidak memiliki tempat tinggal,6,6
warga mungkin dibaksa menjadi pengungsi iklim,5,4
akan memiliki tempat tinggal yang baru dan suasana yang baru,7,6
adaptasi dengan lingkungan sekitar,7,7
orang orang akan meninggalkan komunitas atau negaranya karena bencana lingkungan.,5,4
mereka akan mendapatkan suasana yang berbeda.,6,6
Mereka akan suilt beradaptasi dan merasa tidak nyaman.,7,7
"Mereka harus kembali beradaptasi dengan keadaan yang baru, yang mungkin bisa tidak sesuai dengan keafaan di Travina.",8,8
pengungsi akan mengalami perubahan iklim dan juga harus bisa beradaptasi pada lingkungan baru,7,7
terpaksa meninggalkan komunitas atau negaranya,7,7
akan menjadi orr asing ketika pindah tempat,7,7
lnfl;wfil,0,0
"tantangannya yaitu dari segi makanan dan minuman,dan mereka juga harus bisa menyesuaikan diri dengan lingkungannya yang baru",8,8
"belum tentu tempat yang di gunakan untuk beroindah lebih aman dari tempat yang sebelumya di tinggali mereka,bisa saja lebih beresiko dari tempat sebelumnya.",8,8
beradaptasi dengan iklim baru dan lingkungan baru,7,7
Tak terbiasa Belum bisa beradaptasi,7,7
akan beradaptasi di tempat yang baru.,7,7
harus dapat ber adap tasi sama ling kung sakitar wilaya baru mereka pinda,7,7
akan kekurangan makanan dan keperluan lainnya akan kehilangan pekerjaan dan harus beradaptasi ulang di tempat yang baru,9,8
meninggaalkan perttanian mereka yang sudah di garap selama ini.,7,7
mereka harus bisa beradaptasi denga lingkungan baru nya.,7,7
akan lama untuk beradaptasi,7,7
Mereka kemungkinan akan kesulitan untuk beradaptasi. Mereka juga akan memerlukan pekerjaan baru untuk memenuhi kebutuhan mereka sehari-hari,8,8
perbedaan iklim dan penyesuaian lingkungan,7,7
yang di hadapinya ketika di pindahkan di tempat baru adalah sulit menyesuaikan diri di tempat yang baru,7,7
mereka akan gugup akan hal yang baru,6,5
tantangan pengungsi iklim adalah orang orang terpaksa meninggalkan komunitas atau negaranya karna bencana lingkungan,6,6
Mengenal lingkungan baru,7,7
tantangannya mereka akan lebih sulit lagi untuk beradaptasi di tempat yang beriklim beda.,7,7
negara-negara lain akan menginginkan dukungan yang sama untuk proyek-proyek mereka,0,0
terpksa meninggalkan komunitas atau negaranya karena bencana lingkungan,5,4
tantangannya adalah terbiasa dengan lingkungan baru.,7,7
Perekonomian yang menurun dan mereka harus membangun kehidupan yang baru untuk melanjutkan kehidupannya.,8,8
mereka akan kehilangan lahan pertanian mereka.,7,7
Akan mendapat suasana baru,7,7
"jika mereka pindah ke tempat baru, maka mereka harus beradaptasi lagi dari awal. jika mereka pindah ke negara lain, mereka harus mempelajari budaya dan bahasa yang berbeda dari yang mereka miliki. dan juga ada kemungkinan mereka akan dibully oleh penduduk asli tempat tersebut. dan akan terjadi lagi diskriminasi seperti saat dulu diskriminasi terhadap orang hitam dan orang putih.",10,10
Berhadapan dengan lingkungan dan budaya yang berbeda sehingga harus dapat beradaptasi dengan cepat dan baik. Belum tentu tempat baru tersebut akan ramah terhadap pengungsi iklim.,9,9
beradaptasi dengan linkungan,7,7
mereka akan meninggalkan lahan pertanian dan perikanan yang lama mereka kembangkan,7,7
"kekurangan makananan,kehilangan pekerjaan,belum terbiasa pada lingkungan baru",9,9
"banyak tantangan yg akan di lalui warga Travina,bukan hanya satu,contohnya mereka akan kehilangan rumah,pertanian dan memulai hidup baru di negara pengungsian mereka. Mereka juga akan beradaptasi & mau-tidak mau harus mengikuti budaya dan keadaan di lingkungan baru mereka.",10,10
mereka akan kehilangan segalanya,5,5
mendapat tempat tinggal yang belum tentu layak dan nyaman,7,7
mereka akan harus beradaptasi dengan lingkungan baru mereka yang mungkin situasi dan kondisinya tidak sama,7,7
tantanganakandihadapiparapengunsi,0,0
dapat dianggap sebagai imigran yang akan menambah jumlah kepadatan penduduk di suatu daerah,7,7
Salah satu tantangan yang akan dihadapi adalah ketika mereka harus mulai terbiasa dengan kehidupan mereka di tempat yang baru. Selaim itu mereka juga harus beradaptasi dengan lingkungan mereka yang baru yang tentunya lingkungan baru itu berbeda dengan tempat tinggal mereka yang dulu.,8,8
bisa jadi mereka akan sulit bersosialisasi,7,7
pasti adanya penyakit yang tidak diinginkan oleh warga,5,4
"salahsatunya mereka sulit mendapatkan air,mencri mkan yang akn mereka makan seahri hari,sulit untuk mencri temsn mengobrol atau berbicra dan mereka sulit memahami lingkungan yg mereka tingal sekarang.",8,8
sering terjadi masalah,3,2
tantangan yang akan dihadapi para pengungsi iklim yaitu susahnya mencari makan atau aktifvitas seperti yang mereka lakukan berhari hari dan hambatan atas kebutuhan yang mereka lukan.sesah untuk berinteraksi dengan orang orang baru,9,9
Tantangan yang dihadapi para pengungsi iklim ini ketika mereka pindah ke tempat baru yaitu tidak terjaminnya makanan dan kebutuhan kebutuhan mereka saat di tempat pengungsian.,8,8
mereka akan merasakan hal yang sangat berbeda sekali,7,7
lebih dikucilkan karna sebagai warga baru yang belum tentu tahu tata tertibnya,6,6
mungkin mereka belum mengenal tempat baru mereka dan haru beradaptasi kembali,7,7
Perlu menyesuaikan diri kembali,7,7
"mencari tempat yang baru,perlu beradaptasi dengan lingkungan sekitar,perlu teman baru atau tetangga baru",7,7
Satu tantangan yang mungkin dihadapi para pengungsi iklim ketika mereka pindah ketempat baru adalah susahnya beradaptasi dengan tempat yang baru yang pasti berbeda jauh dengan tempat tinggal mereka dulu begitu juga dengan pekerjaan mereka pasti susah dilakukan jika pekerjaan di tempat baru mereka tidah pernah mereka lakukan di tempat tinggal lama mereka,9,9
penduduk akan kehilangan lahan pertanian dan perkebunan yang mereka punya,7,7
perubahan lingkungan,6,6
perlu beradaptasi dengan iklim baru di tempat yang baru,7,7
pengungsi iklim akan menghadapi masalah yaitu merasa tidak nyaman karena berada di tempat yang baru dan tidak berada seperti di tempat tinggal nya sendiri,7,7
mereka perlu BERADAPTASI dengan lingkungan baru yang mereka tempati,7,7
hilangnya lahan pertanian atau brubah nya perekonomian.,7,7
pungunsi iklim,0,0
kehilangan lingkungan kita akibat bencana .,6,5
Kekurangan sumber daya,5,5
"mereka akan kehilangan tempat tinggal, pekerjaan sehinnga ditempat baru, mereka harus beradaptasi dengan lingkungan baru mereka",9,9
kehilagan lahan pertanian penyesuaian tubuh,7,7
mereka akan sulit untuk menyesuaikan dirinya di lingkungan baru,7,7
sulit mendapat tempat yg cocok untuk tinggal,7,7
adaptasi dengan lingkungan baru,7,7
mereka harus mencari pekerjaan baru dan harus membiasakan diri kembali di lingkungan yang baru,8,8
sulit bersosialisasi dengan keadaan iklim yang ada di tempat yang baru,7,7
mereka kehilangan mata pencaharian dan mereka juga kehilangan banyak barang serta mereka juga bakal sibuk untuk terus berpindah pindah seiring berjalannya perubahan iklim,9,8
mereka akan kehilangan lahan pertanian mereka,7,7
pasi pengungsi bahagia karena dapat tempat untuk mengungsi,2,1
sebagian dari mereka akan kehilangan pekerjaan dan akan sulit untuk beradaptasi.,8,8
"Menurut saya, salah satu tantangan yang dihadapi oleh para pengungsi iklimk adalah : 1. termakannya waktu untuk melakukan perpindahan dari satu tempat ke tempat lainnya. 2. hilangnya mata pencaharian. 3. dana negara mulai menipis. 4. sumber daya alam di tempat yang dulu tidak bisa dimanfaatkan.",10,9
membiasakan dengan iklim yang baru,7,7
penduduk menigalkan perkebunan mereka ke daerah yang lebih tinggi untuk meng ngusi,7,7
perlu beradaptasi,7,7
tantangan yang dihadapi adalah warga dipaksa untuk menjadi pengungsi iklim,5,4
"mereka bisa saja mengalami kesulitan dalam menyesuaikan diri dengan lingkungan yang baru,karena di setiap daerah atau negara pastinya mempunyai perbedaan baik dalam bahasa,budaya dan pergaulan,jadi sudah dipastikan bahwa pengungsi iklim juga akan mengakami hal tersebut.",9,9
harus beradaptasi dengan lingkungan barunya juga akan kehilangan lahan pertanian mereka,8,8
mereka akan dikucikan bila mereka pindah ketempat yang baru dan mereka akn sulit mendapatkan pertolongan medis dan pendidikan karena mereka tidak tinggal di daerah mereka,9,9
tantangan terbesar para pengungsi iklim adalah Beradaptasi dengan tempat barunya nanti.,7,7
akan sulit beradap tasi dengan lingkungan baru,7,7
Mereka akan sulit mencari makanan dan sektor usaha mereka seperti pertanian akan hilang.,7,7
Proses adaptasi mereka dengan lingkungan baru akan susah,7,7
dia susah beradaptasi dgn iklim yang di tempat pengungsian karena dia tidak terbiasa dgn iklim seperti itu,7,8
Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,5,4
Berinteraksi dengan lingkungan dan kehilangan lahan pertanian dan rumahnya,8,8
keadaannya sangat berbeda,5,4
"mereka harus memulai ulang kehidupan nyha ( mulai dari pekerjaan, ataupun kalu ada sejarah tentang rumah itu sudah ditempati keluarga itu secara turun menurun)",9,8
"tempat tinggal yang terbatas, makanan dan minuman yang tidak cukup, dan konflik batin yang akan dialami para pengungsi iklim",10,10
dia akan merasa berbeda ketika dia tinggal ditempat yang lebih dingin namun kini tinggal ditempat yang lebih panas,6,7
"Kurangnya lahan yang bisa mereka kembangan seperti untuk lahan pertanian karena biasanya, ketika mereka pindah ke tempat baru. tempat tersebut sudah berpehuni ataupun masih belum terurus",8,9
mereka harus beradaptasi pada lingkungan baru lagi mencari teman kerabat yang baru lagi serba baru lah pokoknya,8,8
berbuat baik terhadap manyarakat baru,4,2
kenaikan permukaan air laut,0,0
pertimbangan proyek,0,0
lahan pertanian mereka akan rusak'dan rumah mereka akan rusak,7,7
mereka akan beradaptasi dengan lingkungan barunya juga mereka akan mengenal budaya lain,7,7
"warga akan menghadapi kehidupan yang berbeda dari yang sebelumnya baik itu tempat tinggalnya,kebudayaannya,ataupun kesehariaannya.",9,8
kehilangan mata pencahariannya dan harus beradaptasi kembali pada lingkungan sekitar,7,7
mereka akan terhindar dari bencana yang melanda tempat mereka. dengan berpindah ke tempat yang lain.,5,6
para pengungsi akan mendapatkan tantangan seperti sakit karna belum biasa dengan negara yang akan dia ungsikan karna setiap negara memiliki iklim yang berbeda-beda dan jenis asupan makanan yang berbeda-beda,9,9
nereka tidak nyaman dengan tempat barunya karena sudah terbiasa dengan tempat lama mereka.,7,7
negara munggin menjari donasi hidup baru,4,2
mereka harus membiasakan diri mereka terhadap lingkungan baru mereka agar bisa seimbang dengan lingkungan yang mereka mengungsi itu.tetapi mereka juga harus bisa memberika waktu untuk melihat negara mereka untuk memastikan bahwa negara mereka dalam kondisi baik.,8,8
"antanagn yang akan mereka hadapi mungkin lumayan banyak salah satunya adalah merka harus membiasakann diri terhadap lingkungan. pergi dari negaranya sendiri dan mengungsi di negeri orang yang belum tentu kehidupanya kedepan. sumber kehidupan merka juga tinggalkan, kemungkinan merka akan menganggur.",10,10
karna kluarga travina mengungsi ke dataran rendah walau pun mengungsi akan kejadian bajir,0,0
"mereka akan kehilangan sebagian besar lahan pertanian mereka ,travina akan mencari donasi secepatnya untuk diberikan ywarga ygang sudah kehilangan sebagian besar lahan pertanianya",8,9
ekonomi,6,6
PASTI MEREKA MERASA RESA DAN GELISA,5,6
mencari tempat tinggal baru,7,7
mereka akan mendapatkan bencana,3,2
tantangan yang akan dihadapi para pengungsi iklim ketika mereka pindah ke tempat baru adalah tidak terbiasa dengan keadaan tempat barunya itu,7,7
biar tenang dan aman,0,0
meskipun mereka pindah ke tempat yang baru. tetapi mereka akan kehilangan sebagian besar lahan pertanian mereka.,7,7
karna membahayakan nyawanya,0,0
jika nanti terjadi perubahan iklim gmna???,0,0
Kedaan ini adalah pengecualian dan kehidupan orang-orang travina sedang di pertaruhkan,4,4
cara menyesuaikan diri di lingkungannya baru,7,7
Bagainmana jika pengungsi berpindah dari Travina dan akan terjad lagi yang ia tinggalkan sekarang,0,0
warga mungkin dipaksa untuk menjadi pengungsi iklim,5,4
tantangan yang paling utama adalah beradaptasi.,7,7
mereka tidak dapat beradaptasi terhadap lingkungan barunya. Sehingga mereka akan kesulitan di berbagai aspek,8,8
beradaptasi terhadap lingkungan yang baru,7,7
terpaksa,3,0
akan mendapatkan negara yang bagus dan aman.,0,0
APA SATU,0,0
beradaptasi,7,7
mereka mungkin akan susah untuk beradaptasi dengan lingkungan barunya dan meraka juga mungkin akan memikirikan tentang harta benda yang mereka miliki di lingkungn lamanya,8,8
pengungsi ikllim adalah orang-orang yang terpaksa meningalkan komunitas atau negaranya karena bencana lingkungan,5,4
meminta bertanggung jawab,0,0
bertempat tinggal dengan orang orang yang tidak mereka kenal,6,7
Akan bertemu dengan orang-orang baru dan mendapatkan pengalaman-pengalaman yang bebeda dari sebelumnya,5,7
susah beradaptasi,7,7
"pengungsi iklim akan pindah ketempat baru,mungkin akan dapat menolong negara lainnya.",7,7
"MEREKA AKAN MEMULAI KEHIDUPAN BARU,MEREKA PUN AKAN MENINGALKAN TANAH KELAHIRAN MEREKA",7,7
"tidak nyaman,memikirkan tempat yang dulu ia tempati,sukar beradaptasi.",8,8
harus menyesuaikan dengan linkungan baru,7,7
tidak disukai oleh negara lain atau cuma menjadi beban kepada negara yang diungsikan,7,7
mereka akann kesusahan mencari pekerjaan karena mereka telah berpindah ke daerah lain yang bukan milik mereka,8,8
ia akan kehilangan lahan pertanian dan akan beradaptasi demgam lingkungan barunyabisa jadi juga pengungsi tidak di terima oleh beberapa prnduduk,8,8
mereka harus belajar beradaptasi pada lingkungan yang baru,7,7
Salah satu tantangan yang akan dihadapi para pengungsi iklim adalah sulit untuk berbaur dan mencari pekerjaan baru demi melakukan kelangsungan hidup di tempat baru.,8,8
mereka akan menghadapi lingkungan lain yang mungkin akan memerlukan waktu yang lama untuk beradaptasi,7,8
"Mereka akan berbaur dengan orang-orang baru, Berusaha untuk menerima budaya baru, mencari kemampuan untuk pekerjaan yang berbeda.",10,10
Mencari tempat tinggal,7,7
karena di tempat tnggalnya tidak aman karena banyak kasusnya,1,1
"banyak yang menolak, susah mencari lapangan pekerjaan dan juga susah mendapatkan rumah yang layak di huni karena bisa terjadi penolakan dari negara lain terhadap pengungsian",10,10
ah berkomunikasi dengan wilyah yang mereka tempati.,5,5
"tantangan yang akan mereka hadapi, seperti mereka harus mencari pekerjaan yang baru untuk mencukupi kehidupan mereka.",8,8
Mereka akan tidak terbiasa dengan tempat baru,6,6
kehilangan pekerjaan dan sumber daya yang ada di tempat lama,9,9
dengan sikap yang tenang,0,0
Mencari tempat pengungsian,7,7
cuaca/atau suasana di perjalanan,2,2
"Pengungsi iklim lingkungan baru yang berbeda dengan sebelumnya,mungkin akan terasa sulit untuk beradaptasi.",9,9
Beradaptasi dengan lingkungan,6,6
mereka akan kehilangan ladan mereka karena harus berpindah tempat tinggal.,9,9
mereka meninggalkan sebuah kenangan yang sangat indah disana bersama keluarga .,4,4
"mereka akan meninggalkan tetengga meraka yg lama,dan mereka dpan tempat tinggal yang baru",5,5
mereka akan meninggalkan komunitas atau negaranya,7,7
sulit beradaptasi di tempat yang baru,7,7
mereka harus beradaptasi dengan iklim dan tembat untuk mencari nafkah.,10,10
bencana lingkungan.,4,4
pengusi harus mendapat kesensarahan karena becana yg terjadi dinegaranya dan maka pengusi harus menigalkan negaranya seblum terjadi di negaranya.,1,1
akan kehilangan mata pencarian,7,7
"meskipun warga travina bisa pindah ke daratan yg lebuh tinggi ketika air laut naik ,mereka akan kehilangan sebagian besar lahan pertanian mereka",8,8
beradaptasi dengan tetanga baru,7,7
orang-orang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,7,7
Mencari pekerjaan di tempat yang baru karena pekerjaan sebelumnya sudah ditinggalkan di Travina.,8,8
Mendukung,0,0
tantangan_tentang_tidak_kenyamanan.,6,6
"mereka akan sulit menemukan tempat tinggal, kebutuhan ekonomi,dan pekerjaan yang tidak menentu",10,10
HARUS BERADAPTASI DENGAN WARGA YANG ADA DISEKITARNYA,7,7
mereka akan tetap menjaga agar tidak terjadi masalah lain lagi,3,3
mereka akan kehilangan sebagian besar dari lahan mereka,7,7
"mereka susah bertahan hidup, tempat tinggal, dan mencari pekerjaan yang layak",9,9
cara beradaptasi dengan lingkungan sekitar.,7,7
"mereka akan sulit beradaptasi di tempat mereka yang baru, karena kondisi ditempat yang baru itu mungkin saja berbeda dengan kondisi di tempat mereka yang lama. serta mereka akan kehilangan mata pencaharian mereka. mereka juga akan kehilangan tempat tinggal mereka.",10,10
mereka akan sulit beradaptasi dengan lingkungan baru di suatu negara lain yg belum pernah di rasakan oleh mereka,8,8
mereka akan mendapatkan musibah atas terjadinya perubahan iklim tersebut dan rumah mereka akan hancur,6,6
"tantanganya yaitu mereka harus tinggal berpindah-pindah karena perubahan iklim. seperti di travina, para warga di kepulauan tersebut terpaksa pindah tempat agar tidak terkena kenaikan permukaan air laut, tetapi juga permukaan air laut itu juga akan naik tiap tahunya dan mereka harus siap hidup berpindah-pindah tiap tahun agar tidak terkena bencana alam tersebut.",9,9
mereka akan kehilangan lahan mereka di tempat asal mereka.,7,7
klim”. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan. Apa satu tantangan yang akan dihadapi para pengungsi iklim ini ketika mereka pindah ke tempat baru? mungkin belum terbiasa pada aklim yang baru.,7,7
karena pengungsi pindah tempat karna travina,5,5
Tidak di terima di tempat yang baru.,7,7
