JAWABAN,LABEL_1,LABEL_2
karena kalau disimpan pakaiannya akan kekecilan dan masih banyak yang membutuhkannya.,0,1
"karena, pakaiannya akan menjadi lebih beretika",3,2
karna menyumbang adalah bekal untuk menuju surga,3,4
karena dengan menyumbang untuk membuat produksi pakaian menjadi lebih beretika,5,5
karena jika ikhlas menyumangkan sedikit uang kita untuk anak yatim atau ke panti asuhan kita akan mendapatkan pahala yang setimpal.,3,3
karena jika mereka menyumbangkan dengan barang akan berguna kedepanya,2,3
untuk meningkatkan kualitas barang yang memuaskan untuk konsumen da menjadikan produksi pakaian menjadi lebih beretika,6,7
"pakian awet adalah alternatif terhadap fast fashion. pakian awet lebih mahal biaya produk dan harga belinya, tetapi karena pakaian itu di buat untuk bertahan dengan lama",1,1
"Menurut saya, para konsumen yang mengerti kondisi kerja yang tidak layak, mereka akan merasa iba dan lebih mengiklaskan 2 Euro tersebut dibanding membeli kaosnya. Sehingga para pekerja bisa mempunyai kondisi kerja dan penghasilan yang baik.",10,10
Karena menurut mereka pakaian tersebut tidak beretika.,5,4
karna itu lebih bermanfaat untuk orang lain daripada harus terbuang sia-sia,4,3
2 euro tersebut sbg upaya untuk prokduksi pakaian menjadi beretika,5,4
karna dapat membantu orang,3,6
Karena kasihan dengan kondisi para pekerja.,6,6
karena pakain tersebut tidak layak untuk dipakai,0,0
"Karena daripada dibuang dan menjadi sampah, lebih baik disumbangkan.",2,2
karena konsumen berpikir lebih baik menyumbang kan ny dari pada harus menjual ny.,1,0
karena akan lebih baik lagi dari sebelumnya.,1,0
karena pakaian itu beretika,2,2
karena banyak yang membutuhkan,5,6
"karena kalau dibuang dapat merugikan,makanya sebagian besar orang menyumbangkannya.",4,2
kerena mereka ingin membantu perusahaan itu untuk membuat produksi pakaian menjadi lebih beretika dan membantu karyawan nya mendapat upah layak dan kondisi kerja yang baik;,7,8
Sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,5,4
"karena jika membeli pakaian lagi akan memenuhi pakaian lemari dan yg sudah tdk layak akan dibaung,maka kebanyakan orng memilih untuk disumbangkan kpda orng lain dan sumbangan baju tersebut layak untuk diapakai yg kurang mampu",7,7
karena konsumen melihat dari kondisi kerja di sebuah pabrik pakaian tersebut kurang beretika sehingga mereka menyumbangkan 2 Euro untuk membuat produksi pakaian yang lebih beretika.,7,7
"menurut saya, kebayakan orang memilih untuk menyumbang karena mungkin saja setelah melihat kondisi kerja di pabrik tersebut, masyarakat menaruh harapan kelak perusahaan tersebut dapat memproduksi pakaian menjadi lebih beretika,",9,9
karna penyumbangan itu baik untuk membuat prodouksi pakaian menjadi lebih beretika,4,5
karena menyumbang itu sama saja menolong orang lain yang sedang kesusahan,6,5
kebanyakan orang memilih untuk menyumbang supaya pabrik pakaian tersebut memperbaiki kondisi kerja produksi pakaian yang lebih beretika,5,7
"agar dapat membantu menjadi lebih mudah, dan membuat barang produksi lebih diminati",3,1
karena melihat gambar tentang kondisi kerja subuah pabrik pakaian,5,6
karena menyumbang adalah hal yang baik untuk masyarakat yang miskin atau tidak mampu,3,3
"karena konsumen-konsumen tersebut sudah tahu dan sadar bagaimana buruknya kondisi kerja di salah satu pabrik pakaian. maka dari itu, 9 dari 10 konsumen memilih untuk menyumbangkan kaus 2 euro tersebut untuk meningkatkan kondisi kerja di pabrik-pabrik pakaian.",8,9
karena mereka telah melihat bagaimana kondisi kerja di sebuah pabrik,6,6
karena konsumen ingin berupaya untuk membuat produksi menjad lebih beretika,5,6
karena lebih baik menyumbang daripada membeli,5,5
karena mengurangi sampah lingkungan dan polusi,1,0
karena barang yang tidak layak di pakai seharusnya di sumbangkan untuk diamalkan kepada orang yang lebih membutuhkan,0,2
KARENA MENYUMBANG ADALAH HAL YANG SANGAT BAIK,5,3
fashion adalah produksi pakaian untuk memenuhi tren fashion cepat berubah,0,0
Karena dengan menyumbangkan uang akan menurangi pakaian fast fashion dan meningkatkan pakaian beretika.,4,6
mungkin karna kondisi pabrik yang kurang mendukung atau kondisi perkerja yang kasihan,6,7
karena konsumen tidak tega melihat pekerja yang bekerja keras dengan gaji rendah,7,7
karna kaus yang di tawarkan oleh produsen belum banyak diminati oleh pembeli,0,1
karena menyumbang bagian dari amal,4,4
sebab untuk membantu produktivitas suatu pabrik,5,5
karena pakaian-pakaian ini biasanya murah dan tidak bertahan lama karena konsumen biasanya cepat menggantinya dengan mode terbaru.,2,3
karena akan sayang kalo di buang begitu saja . lebih baik di kasih kepada orang yang membutuhkan,3,4
karena menyumabng adalah perbuatan yang terpuji dan dapat membantu kita untuk mendapat pakaian yang beretika karena semua bahan untuk memproduksi terpenuhi dari hasil kita menyumbang,7,7
supaya bisa mengurangi pakaian yang berakhir ditempat pembuangan sampah.,2,4
pakaian awet adalah alternatif terhadap fast fashion,0,1
karena lebih bermanfaat.,4,4
Dikarenakan sembilan dari sepuluh konsumen tersebut menyadari akan betapa buruknya akibat dari pakaian yang tidak memenuhi etika.,5,6
"? karena,jika mereka menyumbangkan 2 euro untuk membuat produksi pakaian menjadi lebih beretika,maka pembuatannnya makin banyak sehingga biayanya yang mahal akan menjadi murah",2,3
karena jika konsumen tersebut membelinya akan menambah sampah lingkungan,0,1
karena mereka atau konsumen yang membeli melihat langsung tentang kondisi kerja disebuah pabrik pakaian dan ternyata hasilnya mengejutkan dikarenakan konsumen melihat pabrik membuat pakaian yang kurang berateka,8,8
karena dengan menyumbangkan uang sebanyak 2 Euro tersebut konsumen akan mendapatkan pakaian yang lebih beretika,3,2
karena menurut mereka tempat pembuatanya atau cara kerja mereka kurang baik.,7,8
karena terlalu banyaknya pakaian yang sudah di beli,1,3
karena dengan cara menyumbang itu bisa membuat produksi pakaian menjadi lebih beretika,6,6
untuk membantu orang yang membutuhkan,7,7
KARNA MEREKA SANGAT MENYUKAI KAUS PUTIH TERSEBUT,0,0
"Karenam sebelum sebuah kaus diberikan kepada konsumen, layar menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian.",7,7
"Sebagai bagian dari eksperiman, sebuah mesin penjual di Berlin menawarkan kaus putih seharga 2 Euro (atau sekitar Rp30.000). Sebelum sebuah kaus diberikan kepada konsumen, layar menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian.  karena pakaian itu dibuat untuk bertahan lebih lama, maka yang dibuat pun menjadi lebih sedikit. Kita sebagai konsumen harus menolak tren Fast Fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etik",2,1
Karena 2 euro sama dengan harga sebuah kaus putih,1,0
krena menyun bang itu berpahala,4,5
karena kondisi kerja pabrik iyu bagus,0,0
"karena menyumbang merupakan suatu bentuk mengamal, menyumbang dalam ajaran agaama yaitu memberi kepada orang yang membutuhkan . itu merupakan suatu tindakan yang terpuji",7,7
Karna itu merupakan infestasi,0,1
karana dengan menyumbang kita bisa membuat produksi pakain menjadi lebih beretika,6,6
karena kondisi di sebuah pabrik yg mengejutkan.,5,4
"karna lebih murah jika menyumbang ,mengapa lebih murah karna 2 euro tersebut sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika",6,4
Sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,5,4
karena yang harus di produksi setiap tahun,0,0
Karena mereka merasa kasihan kepada kondisi di pabriknya yang mungkin tidak bersih atau mungkin mesinnya tidak lengkap dan merasa kasihan kepada pegawainya yang mendapatkan gaji kurang dari yang ditetapkan.,9,10
karena kalo menyumbang akan dapat pahala,5,4
"mungkin pakaian itu tidak bagus untuk di pakai lagi.dan mungkin saja pakaian itu tidak muat di pakai oleh orang tersebut,",0,2
"karena konsumen ingin merubah produsen yang membuat fast fashion ini menjadi lebih baik melihat pabriknya yang terlihat sangat buruk, lagipula hanya dengan memberikan 2 euro saja bukanlah uang yang banyak dan orang pasti tak apa merelakannya.",8,9
"Menurut saya, kebanyakan orang memilih untuk menyumbang agar pabrik bisa dibenahi dengan menggunakan uang sumbangan mereka. Selain itu mereka ingin memperbaiki kondisi kerja pabrik pakaian yang sangatlah buruk dan sangat tidak sesuai dengan prinsip produksi pakaian yang beretika nomor 1 yaitu 'Memastikan bahwa pekerja mendapatkan upah layak dan kondisi kerja yang baik'.",10,10
karena untuk membantu sebagian konsumen,0,0
karena menyumbang lebih baik daripada menerima,4,5
"karena lebih bermanfaat, dari pada diabuang dan tidak ada yang menggunakan",1,2
karna gambarnya tidak cocok dengan warna kaus baju,0,0
Karena kita juga makhluk sosial harus tolong menolong jadi kita pantas menyumbang kepada orang yang ada dibawah kita,6,6
karena dengan menyumbang para konsumen dapat membantu para pekerja,7,7
Karena dengan menyumbang akan membantu proses produksi yang lebih bagus lagi maka akan banyak konsumen nantinya yang akan membeli produk tersebut,7,8
produksi pakaian menjadi lebih beretika.,5,4
lebih baik menyumbang,3,3
akaian-pakaian ini biasanya murah dan tidak bertahan lama karena konsumen biasanya cepat menggantinya dengan mode terbaru. Fas,2,3
karena dia ingin pakaian mereka beretika,5,6
karena dia akan membuat produksi pakaian yang beretika maka dia akan menyumbangknnya,5,5
upaya untuk membuat produksi pakaian menjadi lebih beretika,5,4
karna menyambung lebih gampang dari memputus,0,0
"menurut saya, kebanyakan orang memilih menyumbangkan bajunya dikarenakan baju itu sudah tidak muat lagi, merasa tidak nyaman lagi",0,1
karena mereka melihat kondisi kerja di sebuah pabrik pakaian,6,6
karena dengan cara menyumbang pakaian kita menjadi lebih beretika,5,4
itu dapat barang dari konsumen itu dapat terjual juga.,0,0
karena mendapatkan pahala,4,5
karena pakaian itu bisa dipakai dan pakaian nya pun beretika,5,4
karena untuk membantu proses perbaikan sebuah pabrik agar terlihat lebih layak dan produksi pakaian menjadi lebih beretika,7,8
karena mereka mengetahui akan kelebihan dari pakaian yang beretika seperti ; Memastikan bahwa pekerja mendapatkan upah layak dan kondisi kerja yang baik Mengurangi sampah lingkungan dan polusi dan Mengurangi penggunaan air.,0,0
karena dengan menyumbang maka akan membuat produksi pakaian beretika dan kondisi kerja pabrik menjadi lebih baik daripada sebelumnya,7,8
karena jika mereka menyumbakan masih banyak yang bisa menggunakan orang di luar sana. dan jika dibuang sangat tidak bagus krena mungkin pakean tersebut masih layak pakai tapi mereka membuangnya.,7,7
karena munkin kebanyakan orang mwngahargai apa yang di lakukan perusahan,6,7
karena kondisi kerja tersebut menampilkan bahwa pekerja tidak mendapatkan upah yg layak dan kondisi kerja yg baik,7,7
karenakasian,4,4
karan menyumbang perbuatan baik dan menambah pahala bagi kita juga.,5,6
